key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,2.348315,0.0,69.0,69.0,49.0,1.0,5000.0,0.0,149000.0,59.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,3.921495,0.0,70.0,70.0,89.0,1.0,25000.0,0.0,150000.0,150.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,3.548305,0.0,71.0,71.0,46.0,1.0,5000.0,0.0,36000.0,61.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,1.66959,0.0,72.0,72.0,19.0,1.0,10000.0,0.0,149000.0,61.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,2.094985,0.0,73.0,73.0,22.0,1.0,10000.0,0.0,61000.0,89.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,1.15458,0.0,74.0,74.0,32.0,1.0,5000.0,0.0,54000.0,5.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,1.137565,0.0,75.0,75.0,7.0,1.0,10000.0,0.0,59000.0,9.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,4.196665,0.0,76.0,76.0,35.0,1.0,5000.0,0.0,15000.0,11.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,left,0.0,2.449475,0.0,77.0,77.0,51.0,1.0,5000.0,0.0,35000.0,89.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,0.516585,0.0,78.0,78.0,39.0,1.0,5000.0,0.0,149000.0,10.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,7.88674,0.0,79.0,79.0,88.0,1.0,25000.0,0.0,125000.0,149.0
