key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay,key_resp_4.keys,key_resp_4.rt
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,right,1,0.784575,0,74,74,33,1,5000,0,104000,5,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.981875,0,75,75,42,1,5000,0,56000,29,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,right,0,1.252375,0,76,76,15,1,10000,0,20000,59,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,left,0,1.55724,0,77,77,87,1,25000,0,75000,151,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,right,1,2.610585,0,78,78,44,1,5000,0,150000,30,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,left,1,1.303945,0,79,79,4,1,10000,0,150000,5,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,right,0,2.898475,0,80,80,88,1,25000,0,125000,149,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,left,1,0.70477,0,81,81,76,1,25000,0,55000,60,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,right,0,1.359465,0,82,82,75,1,25000,0,35000,60,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,right,1,0.91632,0,83,83,64,1,25000,0,150000,4,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.457655,0,84,84,13,1,10000,0,111000,30,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,right,0,2.916715,0,85,85,26,1,10000,0,39000,150,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,right,0,1.471915,0,86,86,86,1,25000,0,55000,151,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,left,1,2.14912,0,87,87,67,1,25000,0,75000,10,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,left,1,2.79849,0,88,88,30,1,5000,0,16000,4,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,right,0,0.943485,0,89,89,20,1,10000,0,20000,90,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,right,1.51877
